Title	Year	Plot	Runtime	Genre	Imdb rating
"Bourne's ultimatum	(2007)	Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.	115 min	Action, Mystery, Thriller            	8"
"Family celebration	(1998)	At Helge's 60th birthday party, some unpleasant family truths are revealed.	105 min	Drama            	8.1"
"Ratatouille	(2007)	A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.	111 min	Animation, Adventure, Comedy            	8.1"
"JFK: The story that was etched in our memory	(1991)	New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.	189 min	Drama, History, Thriller            	8"
"The book of the jungle	(1967)	Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.	78 min	Animation, Adventure, Comedy            	7.6"
"Eskiya	(1996)	Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.	128 min	Crime, Drama, Thriller            	8.1"
"The children of men	(2006)	In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.	109 min	Action, Drama, Sci-Fi            	7.9"
"The social network	(2010)	As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.	120 min	Biography, Drama            	7.8"
"Princess Mononoke	(1997)	On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.	134 min	Animation, Action, Adventure            	8.4"
The doomed	(1952)	A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.	143 min	Drama            	8.3
"The Incredibles	(2004)	While trying to leave a quiet suburban life, a family of undercover superheroes are forced into action to save the world.	115 min	Animation, Action, Adventure            	8"
"The untouchable	(2011)	After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.	112 min	Biography, Comedy, Drama            	8.5"
"The elephant man	(1980)	A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.	124 min	Biography, Drama            	8.2"
"In the name of the father	(1993)	A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.	133 min	Biography, Crime, Drama            	8.1"
"Kill Bill: Vol. 1	(2003)	After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.	111 min	Action, Crime, Drama            	8.2"
"Blade Runner 2049	(2017)	Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.	164 min	Action, Drama, Mystery            	8"
"Skyfall	(2012)	James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.	143 min	Action, Adventure, Thriller            	7.8"
"The Blues Brothers	(1980)	Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago.	133 min	Action, Adventure, Comedy            	7.9"
"The secret in her eyes	(2009)	A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.	129 min	Drama, Mystery, Romance            	8.2"
"Groundhog Day	(1993)	A self-centered Pittsburgh weatherman finds himself inexplicably trapped in a small town as he lives the same day over and over again.	101 min	Comedy, Drama, Fantasy            	8.1"
"Yozibo	(1961)	A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.	110 min	Action, Drama, Thriller            	8.2"
"Youth Slogans	(1973)	A group of teenagers in California's central valley spend one final night after their 1962 high school graduation cruising the strip with their buddies before they pursue their varying goals.	110 min	Comedy, Drama            	7.4"
"Infidelities and sins	(1989)	An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.	104 min	Comedy, Drama            	7.8"
"Lost love	(2000)	A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.	154 min	Drama, Thriller            	8.1"
"The moving castle	(2004)	When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.	119 min	Animation, Adventure, Family            	8.2"
"Gaddy	(1982)	The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.	191 min	Biography, Drama            	8.1"
"The Forest Neighborhood: The Adventures of Totoro	(1988)	When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.	86 min	Animation, Comedy, Family            	8.1"
"Case Notaries	(1946)	The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?	102 min	Drama, Film-Noir, Romance            	7.9"
"The Nuremberg Trials	(1961)	In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.	179 min	Drama, War            	8.3"
"Sweet Smell of Success	(1957)	Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.	96 min	Drama, Film-Noir            	8"
"Mary and Max	(2009)	A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.	92 min	Animation, Comedy, Drama            	8.1"
"Hers	(2013)	In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.	126 min	Drama, Romance, Sci-Fi            	8"
"Through the flames	(2010)	Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.	131 min	Drama, Mystery, War            	8.3"
"His express stranger	(1951)	A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.	101 min	Crime, Drama, Film-Noir            	7.9"
"Sin City	(2005)	An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.	124 min	Crime, Thriller            	8"
"Two Smoking Barrels	(1998)	Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.	107 min	Action, Comedy, Crime            	8.2"
"The favored	(2018)	In early 18th-century England, the status quo at the court is upset when a new servant arrives and endears herself to a frail Queen Anne.	119 min	Biography, Comedy, Drama            	7.5"
"Before Midnight	(2013)	We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.	109 min	Drama, Romance            	7.9"
"A wonderful person	(2001)	After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.	135 min	Biography, Drama            	8.2"
"The Carlito case	(1993)	A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.	144 min	Crime, Drama, Thriller            	7.9"
"The incorruptibles	(1987)	During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him.	119 min	Crime, Drama, Thriller            	7.9"
"Casino	(1995)	A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.	178 min	Crime, Drama            	8.2"
"Gran Torino	(2008)	Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.	116 min	Drama            	8.1"
"Memories of crime	(2003)	In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.	131 min	Crime, Drama, Mystery            	8.1"
"Objector of conscience	(2016)	World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.	139 min	Biography, Drama, History            	8.1"
"Optimism guide	(2012)	After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.	122 min	Comedy, Drama, Romance            	7.7"
"Little Miss Sunshine	(2006)	A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.	101 min	Comedy, Drama            	7.8"
Nights of Cambria	(1957)	A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.	110 min	Drama            	8.1
"a trip to the wild nature	(2007)	After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.	148 min	Adventure, Biography, Drama            	8.1"
"Dunkirk	(2017)	Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.	106 min	Action, Drama, History            	7.8"
"Shoplifters	(2018)	A family of small-time crooks take in a child they find outside in the cold.	121 min	Crime, Drama            	7.9"
"Stalker	(1979)	A guide leads two men through an area known as the Zone to find a room that grants wishes.	162 min	Drama, Sci-Fi            	8.1"
"The Devil Women	(1955)	The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.	117 min	Crime, Drama, Horror            	8.1"
"Hot and Hot	(2007)	A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town.	121 min	Action, Comedy, Mystery            	7.8"
"The girl who disappeared	(2014)	With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.	149 min	Drama, Mystery, Thriller            	8.1"
"Hotel Rwanda	(2004)	Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.	121 min	Biography, Drama, History            	8.1"
"Stories for Wilds	(2014)	Six short stories that explore the extremities of human behavior involving people in distress.	122 min	Comedy, Drama, Thriller            	8.1"
"The Grand Budapest Hotel	(2014)	A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.	99 min	Adventure, Comedy, Crime            	8.1"
"Prisoners	(2013)	When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.	153 min	Crime, Drama, Mystery            	8.1"
"Persona	(1966)	A nurse is put in charge of a mute actress and finds that their personae are melding together.	85 min	Drama, Thriller            	8.1"
"The history of games 2	(1999)	When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.	92 min	Animation, Adventure, Comedy            	7.9"
Short Term 12	(2013)	A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.	96 min	Drama            	7.9
"The rescue	(2015)	An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.	144 min	Adventure, Drama, Sci-Fi            	8"
"Rush	(I) (2013)	The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.	123 min	Action, Biography, Drama            	8.1"
"Hachiko: The story of a dog	(2009)	A college professor bonds with an abandoned dog he takes into his home.	93 min	Biography, Drama, Family            	8.1"
"Zombies, the awakening of the dead	(1978)	Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.	127 min	Horror, Thriller            	7.8"
"Catch Me If You Can	(2002)	Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.	141 min	Biography, Crime, Drama            	8.1"
"Akira	(1988)	A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.	124 min	Animation, Action, Drama            	8"
"Paper moon	(1973)	During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.	102 min	Comedy, Crime, Drama            	8.1"
"Satanic affairs	(2002)	A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.	101 min	Action, Crime, Drama            	8"
"Mary Poppins	(1964)	In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.	139 min	Comedy, Family, Fantasy            	7.8"
"Dogs day	(1975)	Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.	125 min	Biography, Crime, Drama            	8"
"The Belleville Trio	(2003)	When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.	80 min	Animation, Comedy, Drama            	7.7"
"The wings of love	(1987)	An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal.	128 min	Drama, Fantasy, Romance            	8"
"What happened to Baby Jane?	(1962)	A former child star torments her paraplegic sister in their decaying Hollywood mansion.	134 min	Drama, Horror, Thriller            	8"
"Anomalies	(2015)	A man crippled by the mundanity of his life experiences something out of the ordinary.	90 min	Animation, Comedy, Drama            	7.2"
"The Scissorhands	(1990)	An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.	105 min	Drama, Fantasy, Romance            	7.9"
"Ghostbusters	(1984)	Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.	105 min	Action, Comedy, Fantasy            	7.8"
"The Night with the Masks	(1978)	Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.	91 min	Horror, Thriller            	7.7"
"The incredible Mr. Fox	(2009)	An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.	87 min	Animation, Adventure, Comedy            	7.9"
"Maids	(2011)	An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.	146 min	Drama            	8.1"
Youthful confusions	(1993)	The adventures of high school and junior high students on the last day of school in May 1976.	103 min	Comedy            	7.6
"Christmas nightmare	(1993)	Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.	76 min	Animation, Family, Fantasy            	7.9"
"Erotic desire	(2000)	Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.	98 min	Drama, Romance            	8"
"The Iron Giant	(1999)	A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.	86 min	Animation, Action, Adventure            	8"
"The Avengers	(2012)	Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.	143 min	Action, Adventure, Sci-Fi            	8"
"Duel of two worlds	(1956)	A starship crew in the 23rd century goes to investigate the silence of a distant planet's colony, only to find just two survivors, a powerful robot, and the deadly secret of a lost civilization.	98 min	Adventure, Sci-Fi            	7.5"
"Wild strawberries	(1957)	After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.	91 min	Drama, Romance            	8.1"
"The man who killed Liberty Valance	(1962)	A senator returns to a western town for the funeral of an old friend and tells the story of his origins.	123 min	Drama, Western            	8.1"
"Andaz Apna Apna	(1994)	Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.	160 min	Action, Comedy, Romance            	8"
"The Nauticals of the valley of the winds	(1984)	Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.	117 min	Animation, Adventure, Sci-Fi            	8"
"Letters from Ivo Jima	(2006)	The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.	141 min	Action, Adventure, Drama            	7.9"
"Hero	(2002)	A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.	120 min	Action, Adventure, Drama            	7.9"
"Paris, Texas	(1984)	Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.	145 min	Drama            	8"
"Fanny and Alexander	(1982)	Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.	188 min	Drama            	8.1"
"Dark river	(2003)	The lives of three men who were childhood friends are shattered when one of them has a family tragedy.	138 min	Crime, Drama, Mystery            	7.9"
"Baby Driver	(2017)	After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.	113 min	Action, Crime, Drama            	7.6"
"The raptor	(2000)	Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.	104 min	Comedy, Crime            	8.3"
"Warrior	(2011)	The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.	140 min	Action, Drama, Sport            	8.2"
"Sling Blade	(1996)	Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.	135 min	Drama            	8"
"Underground	(1995)	A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love, and hate.	170 min	Comedy, Drama, Fantasy            	8.1"
Tearing cat	(1958)	Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.	108 min	Drama            	8
"The chosen ones	(2007)	In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.	115 min	Action, Crime, Drama            	8"
"V for Vendetta	(2005)	""In a future British dystopian society, a shadowy freedom fighter, known only by the alias of """"V"""", plots to overthrow the tyrannical government - with the help of a young woman.""	132 min	Action, Drama, Sci-Fi            	8.2"
"Le Samouraï	(1967)	After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.	105 min	Crime, Drama            	8"
"Spider-Man: Inside the Spider-Universe	(2018)	Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.	117 min	Animation, Action, Adventure            	8.4"
"Spring, summer, autumn, winter ... and spring	(2003)	A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.	103 min	Drama, Romance            	8"
"The legend of 1900	(1998)	A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.	169 min	Drama, Music, Romance            	8"
"Darbareye Elly	(2009)	The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.	119 min	Drama, Mystery            	7.9"
"Adaptation.	(2002)	A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.	115 min	Comedy, Drama            	7.7"
"Love Bug	(2017)	In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California.	94 min	Comedy, Drama            	7.4"
"Dancing with the wolves	(1990)	Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Native Americans, making him an intolerable aberration in the military.	181 min	Adventure, Drama, Western            	8"
"The Lion of Arabia	(1976)	This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.	177 min	Biography, Drama, History            	8.1"
"Ριφιφί	(1955)	Four men plan a technically perfect crime, but the human element intervenes...	118 min	Crime, Drama, Thriller            	8.1"
"Logan	(2017)	In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.	137 min	Action, Drama, Sci-Fi            	8.1"
"The chosen ones 2	(2010)	After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.	115 min	Action, Crime, Drama            	8"
"All alone together	(2004)	A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.	88 min	Crime, Drama, Romance            	7.9"
"Sherlock Jr.	(1924)	A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.	45 min	Action, Comedy, Romance            	8.2"
"The Last Trump	(1951)	A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.	111 min	Drama, Film-Noir            	8.1"
"On the verge of tomorrow	(2014)	A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.	113 min	Action, Adventure, Sci-Fi            	7.9"
"Star Trek	(2009)	The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.	127 min	Action, Adventure, Sci-Fi            	7.9"
"Harry Potter and the Prisoner of Azkaban	(2004)	Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.	142 min	Adventure, Family, Fantasy            	7.9"
"Babi	(1942)	The story of a young deer growing up in the forest.	70 min	Animation, Adventure, Drama            	7.3"
"The Thin Man	(1934)	Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.	91 min	Comedy, Mystery            	7.9"
"Moon	(2009)	Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.	97 min	Drama, Mystery, Sci-Fi            	7.8"
"Ta Terata	(1932)	A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.	64 min	Drama, Horror            	7.9"
"The twelve monkeys	(1995)	In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.	129 min	Mystery, Sci-Fi, Thriller            	8"
"Samsara	(I) (2011)	Filmed over nearly five years in twenty-five countries on five continents, and shot on seventy-millimetre film, Samsara transports us to the varied worlds of sacred grounds, disaster zones, industrial complexes, and natural wonders.	102 min	Documentary, Music            	8.4"
"Persepolis	(2007)	A precocious and outspoken Iranian girl grows up during the Islamic Revolution.	96 min	Animation, Biography, Drama            	8"
"Shin seiki Evangelion Gekijô-ban: Air / Magokoro wo, kimi ni	(1997)	Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).	87 min	Animation, Action, Drama            	8"
"Dead at Dawn	(1987)	The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.	84 min	Comedy, Horror            	7.7"
"Who trapped Roger Rabbit	(1988)	A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.	104 min	Animation, Adventure, Comedy            	7.7"
"Serenity	(2005)	The crew of the ship Serenity try to evade an assassin sent to recapture telepath River.	119 min	Action, Adventure, Sci-Fi            	7.8"
"The throne of blood	(1957)	A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.	110 min	Drama, History            	8.1"
"Monsters Inc.	(2001)	In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.	92 min	Animation, Adventure, Comedy            	8.1"
"Sold by her mother	(1954)	A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.	108 min	Drama            	8"
"Pink Floyd: The wall	(1982)	A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.	95 min	Drama, Fantasy, Music            	8"
"Mad Max 2: Avenger beyond the law	(1981)	In the post-apocalyptic Australian wasteland, a cynical drifter agrees to help a small, gasoline-rich community escape a horde of bandits.	96 min	Action, Adventure, Sci-Fi            	7.6"
"Dallas Buyers Club	(2013)	In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.	117 min	Biography, Drama            	7.9"
Hibernation	(2014)	A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.	196 min	Drama            	8.1
"From a machine	(2014)	A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.	108 min	Drama, Sci-Fi, Thriller            	7.7"
"The island of dogs	(2018)	Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.	101 min	Animation, Adventure, Comedy            	7.8"
"Pirates of the Caribbean: The Curse of the Black Pearl	(2003)	""Blacksmith Will Turner teams up with eccentric pirate """"Captain"""" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.""	143 min	Action, Adventure, Fantasy            	8"
"Kill Bill: Vol. 2	(2004)	The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.	137 min	Action, Crime, Thriller            	8"
"Hunting people	(2016)	A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.	101 min	Adventure, Comedy, Drama            	7.8"
"Zoo	(2016)	In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.	108 min	Animation, Adventure, Comedy            	8"
"The song of the sea	(2014)	Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.	93 min	Animation, Adventure, Drama            	8"
"District 9	(2009)	Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.	112 min	Action, Sci-Fi, Thriller            	7.9"
"The night of the living dead	(1968)	A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.	96 min	Horror, Thriller            	7.8"
"How to train your dragon	(2010)	A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.	98 min	Animation, Action, Adventure            	8.1"
"Dangerous Mission: The Fall	(2018)	Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.	147 min	Action, Adventure, Thriller            	7.7"
"The mirror	(1975)	A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.	107 min	Biography, Drama            	8"
"The scratching of the dead	(2004)	The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse.	99 min	Comedy, Horror            	7.9"
"Return	(2015)	A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.	156 min	Action, Adventure, Drama            	8"
"Shrek	(2001)	A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.	90 min	Animation, Adventure, Comedy            	7.9"
"Interstellar	(2014)	A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.	169 min	Adventure, Drama, Sci-Fi            	8.6"
"Minority Report	(2002)	In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.	145 min	Action, Crime, Mystery            	7.7"
"The castle in the sky	(1986)	A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.	125 min	Animation, Adventure, Family            	8"
"Love with obstacles	(2017)	Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.	120 min	Comedy, Drama, Romance            	7.5"
"Cinderella	(1950)	When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq and from her Fairy Godmother.	74 min	Animation, Family, Fantasy            	7.3"
"My beautiful lady	(1964)	In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make crude flower girl Eliza Doolittle presentable in high society.	170 min	Drama, Family, Musical            	7.8"
"Waltz with Bashir	(2008)	An Israeli film director interviews fellow veterans of the 1982 invasion of Lebanon to reconstruct his own memories of his term of service in that conflict.	90 min	Documentary, Animation, Biography            	8"
